ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,VICTIMA,ACUSADO,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,CALLE,CRUCE,LATITUD,LONGITUD,DIA_SEMANA
2017-0150,1,2017-12-04,2017,12,4,1,AV. RIVADAVIA Y MIRALLA,AVENIDA,PEATON,AUTO,PEATON,MASCULINO,56,RIVADAVIA AV.,MIRALLA,-58.51140889,-34.63934531,Monday
2017-0151,1,2017-12-04,2017,12,4,2,VIEYTES Y LUJAN,CALLE,PEATON,PASAJEROS,PEATON,MASCULINO,,VIEYTES,LUJAN,-58.37460912,-34.65559133,Monday
2017-0152,1,2017-12-06,2017,12,6,17,CACHI Y TRAFUL,CALLE,BICICLETA,PASAJEROS,CICLISTA,MASCULINO,19,CACHI,TRAFUL,-58.41146277,-34.65073916,Wednesday
2017-0153,2,2017-12-11,2017,12,11,2,ROSARIO Y AV. LA PLATA,AVENIDA,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,,ROSARIO,LA PLATA AV.,-58.42855267,-34.61829385,Monday
2017-0153,2,2017-12-11,2017,12,11,2,ROSARIO Y AV. LA PLATA,AVENIDA,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,30,ROSARIO,LA PLATA AV.,-58.42855267,-34.61829385,Monday
2017-0154,1,2017-12-11,2017,12,11,9,AV. ENTRE RIOS Y AV. CASEROS ,AVENIDA,PEATON,PASAJEROS,PEATON,MASCULINO,76,ENTRE RIOS AV.,CASEROS AV.,-58.39035581,-34.63412287,Monday
2017-0155,1,2017-12-12,2017,12,12,21,AV. RIVADAVIA 6350,AVENIDA,SD,MOTO,SD,MASCULINO,77,RIVADAVIA AV.,,-58.45593915,-34.62656868,Tuesday
2017-0157,1,2017-12-17,2017,12,17,9,AV. GRAL. PAZ Y HUMAITA,GRAL PAZ,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,53,"PAZ, GRAL. AV.",HUMAITA,-58.52866211,-34.64597065,Sunday
2017-0158,1,2017-12-18,2017,12,18,21,GUALEGUAYCHU Y COLECTORA AV. GRAL PAZ,GRAL PAZ,MOTO,AUTO,CONDUCTOR,MASCULINO,32,GUALEGUAYCHU,"PAZ, GRAL. AV.",-58.52037476,-34.59407024,Monday
2017-0159,1,2017-12-20,2017,12,20,4,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,MOTO,AUTO,CONDUCTOR,MASCULINO,27,INDEPENDENCIA AV.,"CEVALLOS, VIRREY",-58.38896772,-34.61799615,Wednesday
2017-0160,1,2017-12-22,2017,12,22,13,AV. NAZCA 365,AVENIDA,PEATON,MOTO,PEATON,FEMENINO,30,NAZCA AV.,,-58.47074114,-34.62771756,Friday
2017-0161,1,2017-12-26,2017,12,26,15,AV. EVA PERON 5249,AVENIDA,PEATON,AUTO,PEATON,FEMENINO,30,"PERON, EVA AV.",,-58.48200819,-34.65969965,Tuesday
2018-0001,1,2018-01-01,2018,1,1,22,San Juan Av. Y Rincón,AVENIDA,PEATON,MOTO,PEATON,MASCULINO,83,SAN JUAN AV.,RINCON,-58.39536773,-34.62297346,Monday
2018-0002,1,2018-01-03,2018,1,3,16,Peru 937,CALLE,BICICLETA,PASAJEROS,CICLISTA,FEMENINO,26,PERU,,-58.37456088,-34.61895467,Wednesday
2018-0003,1,2018-01-05,2018,1,5,10,"Pueyrredon, Honorio, Dr. Av. y Galicia",AVENIDA,PEATON,MULTIPLE,PEATON,FEMENINO,58,"PUEYRREDON, HONORIO, DR. AV.",GALICIA,-58.44860217,-34.60395657,Friday
2018-0004,1,2018-01-09,2018,1,9,9,Del Libertador Av. y Manzanares,AVENIDA,MOTO,MULTIPLE,CONDUCTOR,MASCULINO,39,DEL LIBERTADOR AV.,MANZANARES,-58.46129513,-34.54332766,Tuesday
2018-0005,1,2018-01-09,2018,1,9,22,Paseo Colon Av. 1019,AVENIDA,PEATON,PASAJEROS,PEATON,MASCULINO,54,PASEO COLON AV.,,-58.36907201,-34.61953517,Tuesday
2018-0006,1,2018-01-10,2018,1,10,21,Valle y Barco Centenera Del,CALLE,BICICLETA,PASAJEROS,CICLISTA,FEMENINO,45,VALLE,BARCO CENTENERA DEL,-58.44062219,-34.62499107,Wednesday
2018-0007,1,2018-01-11,2018,1,11,2,AU Perito Moreno  KM 0.6,AUTOPISTA,AUTO,AUTO,CONDUCTOR,MASCULINO,46,AUTOPISTA PERITO MORENO,,-58.52502765,-34.63601265,Thursday
2018-0008,1,2018-01-12,2018,1,12,17,"Huergo, Ing. Av. e Independencia Av.",AVENIDA,MOTO,CARGAS,CONDUCTOR,FEMENINO,32,"HUERGO, ING. AV.",INDEPENDENCIA AV.,-58.36659655,-34.61687778,Friday
2018-0009,1,2018-01-14,2018,1,14,2,"Pilcomayo y Brown, Alte. Av.",AVENIDA,MOTO,MOTO,CONDUCTOR,MASCULINO,19,PILCOMAYO,"BROWN, ALTE. AV.",-58.36737389,-34.62763661,Sunday
2018-0010,1,2018-01-18,2018,1,18,5,"Cervantes y Belaustegui, Luis, Dr.",CALLE,MOTO,CARGAS,CONDUCTOR,MASCULINO,40,CERVANTES,"BELAUSTEGUI, LUIS, DR.",-58.49807953,-34.63038658,Thursday
2018-0011,1,2018-01-19,2018,1,19,10,Callao y Vte. Lopez,AVENIDA,PEATON,PASAJEROS,PEATON,MASCULINO,84,CALLAO AV.,"LOPEZ, VICENTE",-58.39092703,-34.59088447,Friday
2018-0012,1,2018-01-26,2018,1,26,13,"Oliden y Chilavert, Martiniano, Coronel",CALLE,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,20,OLIDEN,"CHILAVERT, MARTINIANO, CORONEL",-58.46912006,-34.68049201,Friday
2018-0013,1,2018-01-28,2018,1,28,8,Congreso Av. y Galvan,AVENIDA,MOTO,AUTO,CONDUCTOR,MASCULINO,44,CONGRESO AV.,GALVAN,-58.48661286,-34.56786129,Sunday
2018-0014,1,2018-01-31,2018,1,31,20,"Moreno, Perito Av. y Rivera Indarte",AVENIDA,PEATON,MOTO,PEATON,MASCULINO,,"MORENO, PERITO AV.",RIVERA INDARTE AV.,-58.44074927,-34.65080597,Wednesday
2018-0015,2,2018-02-06,2018,2,6,1,Australia Av. 2800,AVENIDA,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,28,AUSTRALIA AV.,,-58.38636298,-34.64684275,Tuesday
2018-0015,2,2018-02-06,2018,2,6,1,Australia Av. 2800,AVENIDA,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,19,AUSTRALIA AV.,,-58.38636298,-34.64684275,Tuesday
2018-0016,1,2018-02-15,2018,2,15,10,"Del Libertador Av. y Ramos Mejia, Jose Maria, Dr. Av.",AVENIDA,MOTO,CARGAS,CONDUCTOR,MASCULINO,31,DEL LIBERTADOR AV.,"RAMOS MEJIA, JOSE MARIA, DR. AV.",-58.37533517,-34.59276462,Thursday
